 x1.net9         v(b0)           v(b1)           v(b2)           v(b3)           v(b4)           v(b5)           v(b6)           i(V_i_in)       i(vmeas_i_out_ladder) i(vmeas_dump)   i(vmeas_i_out) 
 6.33166051e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26344341e-06  3.92130772e-12  4.25744705e-06  6.95504148e-07 
 5.99795699e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26429606e-06  1.87636244e-06  2.40875936e-06  2.46690497e-06 
 5.99701547e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26430102e-06  1.88051731e-06  2.40461714e-06  2.47081256e-06 
 5.97810170e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26434853e-06  1.96271507e-06  2.32259200e-06  2.54810429e-06 
 5.99514487e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26431059e-06  1.88875441e-06  2.39640416e-06  2.47855920e-06 
 5.97136970e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26436750e-06  1.99142055e-06  2.29393813e-06  2.57509026e-06 
 5.97607998e-01  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26435840e-06  1.97137019e-06  2.31395713e-06  2.55624131e-06 
 5.97018930e-01  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26437309e-06  1.99642640e-06  2.28894297e-06  2.57979593e-06 
 5.99144590e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26432862e-06  1.90497533e-06  2.38022879e-06  2.49381353e-06 
 5.96694163e-01  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26438286e-06  2.01014781e-06  2.27524438e-06  2.59269400e-06 
 5.96842671e-01  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26438106e-06  2.00388430e-06  2.28150028e-06  2.58680642e-06 
 5.96247394e-01  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26439458e-06  2.02891335e-06  2.25650652e-06  2.61033235e-06 
 5.97207539e-01  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26437650e-06  1.98843594e-06  2.29692856e-06  2.57228459e-06 
 5.96148235e-01  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.26439876e-06  2.03306274e-06  2.25236447e-06  2.61423230e-06 
