 net3            i(V_i_in)       net3            i(VI_out)      
 2.67691108e-01  1.00223197e-05  2.67691108e-01  3.77298193e-12 
 2.67681786e-01  1.00223237e-05  2.67681786e-01  1.32014684e-07 
 2.67680184e-01  1.00223261e-05  2.67680184e-01  2.19524679e-07 
 2.67674764e-01  1.00223293e-05  2.67674764e-01  5.07499109e-07 
 2.67677008e-01  1.00223311e-05  2.67677008e-01  3.89475154e-07 
 2.67669665e-01  1.00223346e-05  2.67669665e-01  7.70719197e-07 
 2.67669967e-01  1.00223367e-05  2.67669967e-01  7.55309273e-07 
 2.67666456e-01  1.00223394e-05  2.67666456e-01  9.33485559e-07 
 2.67670630e-01  1.00223410e-05  2.67670630e-01  7.21375201e-07 
 2.67662323e-01  1.00223443e-05  2.67662323e-01  1.14036126e-06 
 2.67661653e-01  1.00223466e-05  2.67661653e-01  1.17358301e-06 
 2.67657186e-01  1.00223494e-05  2.67657186e-01  1.39355090e-06 
 2.67660341e-01  1.00223511e-05  2.67660341e-01  1.23854082e-06 
 2.67653945e-01  1.00223541e-05  2.67653945e-01  1.55122517e-06 
 2.67655175e-01  1.00223561e-05  2.67655175e-01  1.49158920e-06 
 2.67652593e-01  1.00223586e-05  2.67652593e-01  1.61662772e-06 
 2.67657647e-01  1.00223602e-05  2.67657647e-01  1.37098372e-06 
 2.67648827e-01  1.00223633e-05  2.67648827e-01  1.79731143e-06 
 2.67647653e-01  1.00223657e-05  2.67647653e-01  1.85329460e-06 
 2.67642682e-01  1.00223683e-05  2.67642682e-01  2.08832766e-06 
 2.67645330e-01  1.00223702e-05  2.67645330e-01  1.96351262e-06 
 2.67638434e-01  1.00223731e-05  2.67638434e-01  2.28670103e-06 
 2.67639153e-01  1.00223751e-05  2.67639153e-01  2.25326058e-06 
 2.67636068e-01  1.00223774e-05  2.67636068e-01  2.39627465e-06 
 2.67640651e-01  1.00223791e-05  2.67640651e-01  2.18345524e-06 
 2.67632770e-01  1.00223820e-05  2.67632770e-01  2.54787066e-06 
 2.67632524e-01  1.00223841e-05  2.67632524e-01  2.55915452e-06 
 2.67628471e-01  1.00223866e-05  2.67628471e-01  2.74366359e-06 
 2.67632058e-01  1.00223883e-05  2.67632058e-01  2.58046771e-06 
 2.67626068e-01  1.00223909e-05  2.67626068e-01  2.85215839e-06 
 2.67627730e-01  1.00223928e-05  2.67627730e-01  2.77715470e-06 
 2.67625564e-01  1.00223950e-05  2.67625564e-01  2.87483152e-06 
 2.67631025e-01  1.00223965e-05  2.67631025e-01  2.62759631e-06 
 2.67621864e-01  1.00223992e-05  2.67621864e-01  3.04040618e-06 
 2.67620389e-01  1.00224015e-05  2.67620389e-01  3.10602037e-06 
 2.67615094e-01  1.00224038e-05  2.67615094e-01  3.33955565e-06 
 2.67617464e-01  1.00224057e-05  2.67617464e-01  3.23541293e-06 
 2.67610231e-01  1.00224082e-05  2.67610231e-01  3.55134865e-06 
 2.67610658e-01  1.00224102e-05  2.67610658e-01  3.53284772e-06 
 2.67607257e-01  1.00224124e-05  2.67607257e-01  3.67961901e-06 
 2.67611573e-01  1.00224142e-05  2.67611573e-01  3.49318088e-06 
 2.67603348e-01  1.00224167e-05  2.67603348e-01  3.84682390e-06 
 2.67602799e-01  1.00224187e-05  2.67602799e-01  3.87015846e-06 
 2.67598421e-01  1.00224210e-05  2.67598421e-01  4.05524177e-06 
 2.67601727e-01  1.00224227e-05  2.67601727e-01  3.91565089e-06 
 2.67595399e-01  1.00224250e-05  2.67595399e-01  4.18178534e-06 
 2.67596767e-01  1.00224269e-05  2.67596767e-01  4.12461991e-06 
 2.67594283e-01  1.00224290e-05  2.67594283e-01  4.22828916e-06 
 2.67599519e-01  1.00224308e-05  2.67599519e-01  4.00901960e-06 
 2.67590726e-01  1.00224332e-05  2.67590726e-01  4.37562848e-06 
 2.67589663e-01  1.00224351e-05  2.67589663e-01  4.41939876e-06 
 2.67584746e-01  1.00224373e-05  2.67584746e-01  4.62035268e-06 
 2.67587561e-01  1.00224391e-05  2.67587561e-01  4.50560432e-06 
 2.67580682e-01  1.00224413e-05  2.67580682e-01  4.78453133e-06 
 2.67581541e-01  1.00224432e-05  2.67581541e-01  4.74997286e-06 
 2.67578528e-01  1.00224452e-05  2.67578528e-01  4.87087357e-06 
 2.67583319e-01  1.00224470e-05  2.67583319e-01  4.67819156e-06 
 2.67575421e-01  1.00224491e-05  2.67575421e-01  4.99454467e-06 
 2.67575298e-01  1.00224510e-05  2.67575298e-01  4.99942826e-06 
 2.67571288e-01  1.00224530e-05  2.67571288e-01  5.15752261e-06 
 2.67575080e-01  1.00224549e-05  2.67575080e-01  5.00807626e-06 
 2.67569088e-01  1.00224568e-05  2.67569088e-01  5.24355433e-06 
 2.67570918e-01  1.00224587e-05  2.67570918e-01  5.17204324e-06 
 2.67568831e-01  1.00224607e-05  2.67568831e-01  5.25359134e-06 
 2.67574353e-01  1.00224647e-05  2.67574353e-01  5.03686330e-06 
 2.67564738e-01  1.00224666e-05  2.67564738e-01  5.41218899e-06 
 2.67562986e-01  1.00224685e-05  2.67562986e-01  5.47956599e-06 
 2.67557315e-01  1.00224704e-05  2.67557315e-01  5.69550762e-06 
 2.67559505e-01  1.00224723e-05  2.67559505e-01  5.61251201e-06 
 2.67551835e-01  1.00224741e-05  2.67551835e-01  5.90096243e-06 
 2.67552030e-01  1.00224760e-05  2.67552030e-01  5.89373728e-06 
 2.67548288e-01  1.00224778e-05  2.67548288e-01  6.03233863e-06 
 2.67552481e-01  1.00224796e-05  2.67552481e-01  5.87691164e-06 
 2.67543774e-01  1.00224814e-05  2.67543774e-01  6.19764499e-06 
 2.67542959e-01  1.00224833e-05  2.67542959e-01  6.22727043e-06 
 2.67538197e-01  1.00224849e-05  2.67538197e-01  6.39898163e-06 
 2.67541353e-01  1.00224868e-05  2.67541353e-01  6.28545531e-06 
 2.67534576e-01  1.00224886e-05  2.67534576e-01  6.52803219e-06 
 2.67535731e-01  1.00224904e-05  2.67535731e-01  6.48701517e-06 
 2.67532912e-01  1.00224921e-05  2.67532912e-01  6.58685914e-06 
 2.67538052e-01  1.00224941e-05  2.67538052e-01  6.40419893e-06 
 2.67528719e-01  1.00224957e-05  2.67528719e-01  6.73389664e-06 
 2.67527358e-01  1.00224974e-05  2.67527358e-01  6.78120329e-06 
 2.67522011e-01  1.00224991e-05  2.67522011e-01  6.96534885e-06 
 2.67524659e-01  1.00225009e-05  2.67524659e-01  6.87452118e-06 
 2.67517272e-01  1.00225024e-05  2.67517272e-01  7.12607083e-06 
 2.67517894e-01  1.00225042e-05  2.67517894e-01  7.10512293e-06 
 2.67514502e-01  1.00225058e-05  2.67514502e-01  7.21897971e-06 
 2.67519201e-01  1.00225078e-05  2.67519201e-01  7.06092841e-06 
 2.67510740e-01  1.00225092e-05  2.67510740e-01  7.34388928e-06 
 2.67510338e-01  1.00225110e-05  2.67510338e-01  7.35718515e-06 
 2.67505897e-01  1.00225125e-05  2.67505897e-01  7.50259674e-06 
 2.67509558e-01  1.00225143e-05  2.67509558e-01  7.38285596e-06 
 2.67503053e-01  1.00225159e-05  2.67503053e-01  7.59470305e-06 
 2.67504673e-01  1.00225177e-05  2.67504673e-01  7.54233651e-06 
 2.67502220e-01  1.00225192e-05  2.67502220e-01  7.62150788e-06 
 2.67507861e-01  1.00225212e-05  2.67507861e-01  7.43855917e-06 
 2.67497954e-01  1.00225223e-05  2.67497954e-01  7.75773808e-06 
 2.67496224e-01  1.00225240e-05  2.67496224e-01  7.81247235e-06 
 2.67490398e-01  1.00225252e-05  2.67490398e-01  7.99454056e-06 
 2.67492782e-01  1.00225273e-05  2.67492782e-01  7.92047982e-06 
 2.67484855e-01  1.00225284e-05  2.67484855e-01  8.16463407e-06 
 2.67485151e-01  1.00225301e-05  2.67485151e-01  8.15560743e-06 
 2.67481323e-01  1.00225315e-05  2.67481323e-01  8.27139877e-06 
 2.67485813e-01  1.00225336e-05  2.67485813e-01  8.13546480e-06 
 2.67476768e-01  1.00225346e-05  2.67476768e-01  8.40726444e-06 
 2.67476003e-01  1.00225361e-05  2.67476003e-01  8.42987441e-06 
 2.67471083e-01  1.00225375e-05  2.67471083e-01  8.57393812e-06 
 2.67474497e-01  1.00225395e-05  2.67474497e-01  8.47423539e-06 
 2.67467446e-01  1.00225406e-05  2.67467446e-01  8.67893245e-06 
 2.67468755e-01  1.00225424e-05  2.67468755e-01  8.64129719e-06 
 2.67465869e-01  1.00225438e-05  2.67465869e-01  8.72403189e-06 
 2.67471388e-01  1.00225460e-05  2.67471388e-01  8.56510196e-06 
 2.67461614e-01  1.00225468e-05  2.67461614e-01  8.84454425e-06 
 2.67460263e-01  1.00225483e-05  2.67460263e-01  8.88243549e-06 
 2.67454682e-01  1.00225495e-05  2.67454682e-01  9.03710254e-06 
 2.67457579e-01  1.00225513e-05  2.67457579e-01  8.95718904e-06 
 2.67449821e-01  1.00225523e-05  2.67449821e-01  9.16934777e-06 
 2.67450568e-01  1.00225540e-05  2.67450568e-01  9.14917264e-06 
 2.67447044e-01  1.00225553e-05  2.67447044e-01  9.24389526e-06 
 2.67452133e-01  1.00225573e-05  2.67452133e-01  9.10672725e-06 
 2.67443203e-01  1.00225581e-05  2.67443203e-01  9.34578317e-06 
 2.67442858e-01  1.00225597e-05  2.67442858e-01  9.35488134e-06 
 2.67438197e-01  1.00225608e-05  2.67438197e-01  9.47649649e-06 
 2.67442195e-01  1.00225628e-05  2.67442195e-01  9.37231160e-06 
 2.67435317e-01  1.00225637e-05  2.67435317e-01  9.55062244e-06 
 2.67437136e-01  1.00225655e-05  2.67437136e-01  9.50389885e-06 
 2.67434589e-01  1.00225668e-05  2.67434589e-01  9.56922921e-06 
