 net3            v(b0)           net3            v(b1)           net3            v(b2)           net3            v(b3)           net3            v(b4)           net3            v(b5)           net3            v(b6)           net3            i(v_i_in)       net3            i(vi_out)      
 1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  0.00000000e+00  1.92449699e-01  1.00237797e-05  1.92449699e-01  2.12785067e-06 
 1.92444434e-01  1.80000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  0.00000000e+00  1.92444434e-01  1.00237806e-05  1.92444434e-01  2.44064140e-06 
 1.92443412e-01  0.00000000e+00  1.92443412e-01  1.80000000e+00  1.92443412e-01  0.00000000e+00  1.92443412e-01  0.00000000e+00  1.92443412e-01  0.00000000e+00  1.92443412e-01  0.00000000e+00  1.92443412e-01  0.00000000e+00  1.92443412e-01  1.00237810e-05  1.92443412e-01  2.50138562e-06 
 1.92440295e-01  1.80000000e+00  1.92440295e-01  1.80000000e+00  1.92440295e-01  0.00000000e+00  1.92440295e-01  0.00000000e+00  1.92440295e-01  0.00000000e+00  1.92440295e-01  0.00000000e+00  1.92440295e-01  0.00000000e+00  1.92440295e-01  1.00237817e-05  1.92440295e-01  2.68690803e-06 
 1.92441365e-01  0.00000000e+00  1.92441365e-01  0.00000000e+00  1.92441365e-01  1.80000000e+00  1.92441365e-01  0.00000000e+00  1.92441365e-01  0.00000000e+00  1.92441365e-01  0.00000000e+00  1.92441365e-01  0.00000000e+00  1.92441365e-01  1.00237820e-05  1.92441365e-01  2.62318594e-06 
 1.92437211e-01  1.80000000e+00  1.92437211e-01  0.00000000e+00  1.92437211e-01  1.80000000e+00  1.92437211e-01  0.00000000e+00  1.92437211e-01  0.00000000e+00  1.92437211e-01  0.00000000e+00  1.92437211e-01  0.00000000e+00  1.92437211e-01  1.00237826e-05  1.92437211e-01  2.87045336e-06 
 1.92437229e-01  0.00000000e+00  1.92437229e-01  1.80000000e+00  1.92437229e-01  1.80000000e+00  1.92437229e-01  0.00000000e+00  1.92437229e-01  0.00000000e+00  1.92437229e-01  0.00000000e+00  1.92437229e-01  0.00000000e+00  1.92437229e-01  1.00237829e-05  1.92437229e-01  2.86932718e-06 
 1.92435170e-01  1.80000000e+00  1.92435170e-01  1.80000000e+00  1.92435170e-01  1.80000000e+00  1.92435170e-01  0.00000000e+00  1.92435170e-01  0.00000000e+00  1.92435170e-01  0.00000000e+00  1.92435170e-01  0.00000000e+00  1.92435170e-01  1.00237835e-05  1.92435170e-01  2.99188747e-06 
 1.92437253e-01  0.00000000e+00  1.92437253e-01  0.00000000e+00  1.92437253e-01  0.00000000e+00  1.92437253e-01  1.80000000e+00  1.92437253e-01  0.00000000e+00  1.92437253e-01  0.00000000e+00  1.92437253e-01  0.00000000e+00  1.92437253e-01  1.00237839e-05  1.92437253e-01  2.86792601e-06 
 1.92432599e-01  1.80000000e+00  1.92432599e-01  0.00000000e+00  1.92432599e-01  0.00000000e+00  1.92432599e-01  1.80000000e+00  1.92432599e-01  0.00000000e+00  1.92432599e-01  0.00000000e+00  1.92432599e-01  0.00000000e+00  1.92432599e-01  1.00237845e-05  1.92432599e-01  3.14488725e-06 
 1.92432098e-01  0.00000000e+00  1.92432098e-01  1.80000000e+00  1.92432098e-01  0.00000000e+00  1.92432098e-01  1.80000000e+00  1.92432098e-01  0.00000000e+00  1.92432098e-01  0.00000000e+00  1.92432098e-01  0.00000000e+00  1.92432098e-01  1.00237850e-05  1.92432098e-01  3.17470621e-06 
 1.92429535e-01  1.80000000e+00  1.92429535e-01  1.80000000e+00  1.92429535e-01  0.00000000e+00  1.92429535e-01  1.80000000e+00  1.92429535e-01  0.00000000e+00  1.92429535e-01  0.00000000e+00  1.92429535e-01  0.00000000e+00  1.92429535e-01  1.00237854e-05  1.92429535e-01  3.32705311e-06 
 1.92431090e-01  0.00000000e+00  1.92431090e-01  0.00000000e+00  1.92431090e-01  1.80000000e+00  1.92431090e-01  1.80000000e+00  1.92431090e-01  0.00000000e+00  1.92431090e-01  0.00000000e+00  1.92431090e-01  0.00000000e+00  1.92431090e-01  1.00237858e-05  1.92431090e-01  3.23465633e-06 
 1.92427500e-01  1.80000000e+00  1.92427500e-01  0.00000000e+00  1.92427500e-01  1.80000000e+00  1.92427500e-01  1.80000000e+00  1.92427500e-01  0.00000000e+00  1.92427500e-01  0.00000000e+00  1.92427500e-01  0.00000000e+00  1.92427500e-01  1.00237865e-05  1.92427500e-01  3.44807571e-06 
 1.92428018e-01  0.00000000e+00  1.92428018e-01  1.80000000e+00  1.92428018e-01  1.80000000e+00  1.92428018e-01  1.80000000e+00  1.92428018e-01  0.00000000e+00  1.92428018e-01  0.00000000e+00  1.92428018e-01  0.00000000e+00  1.92428018e-01  1.00237868e-05  1.92428018e-01  3.41722367e-06 
 1.92426487e-01  1.80000000e+00  1.92426487e-01  1.80000000e+00  1.92426487e-01  1.80000000e+00  1.92426487e-01  1.80000000e+00  1.92426487e-01  0.00000000e+00  1.92426487e-01  0.00000000e+00  1.92426487e-01  0.00000000e+00  1.92426487e-01  1.00237874e-05  1.92426487e-01  3.50824121e-06 
 1.92429075e-01  0.00000000e+00  1.92429075e-01  0.00000000e+00  1.92429075e-01  0.00000000e+00  1.92429075e-01  0.00000000e+00  1.92429075e-01  1.80000000e+00  1.92429075e-01  0.00000000e+00  1.92429075e-01  0.00000000e+00  1.92429075e-01  1.00237877e-05  1.92429075e-01  3.35445682e-06 
 1.92424203e-01  1.80000000e+00  1.92424203e-01  0.00000000e+00  1.92424203e-01  0.00000000e+00  1.92424203e-01  0.00000000e+00  1.92424203e-01  1.80000000e+00  1.92424203e-01  0.00000000e+00  1.92424203e-01  0.00000000e+00  1.92424203e-01  1.00237883e-05  1.92424203e-01  3.64378038e-06 
