 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67904591e-01  1.00586970e-05  2.67904591e-01  4.02522460e-12  2.67904591e-01  2.82828729e-01 
 2.67903570e-01  1.00586969e-05  2.67903570e-01  5.32551780e-12  2.67903570e-01  2.82828684e-01 
 2.67901988e-01  1.00586970e-05  2.67901988e-01  2.72495200e-08  2.67901988e-01  2.82828137e-01 
 2.67900708e-01  1.00586970e-05  2.67900708e-01  8.77237163e-08  2.67900708e-01  2.82827940e-01 
 2.67898820e-01  1.00586970e-05  2.67898820e-01  1.77644175e-07  2.67898820e-01  2.82827232e-01 
 2.67897712e-01  1.00586970e-05  2.67897712e-01  2.30437855e-07  2.67897712e-01  2.82827311e-01 
 2.67895965e-01  1.00586971e-05  2.67895965e-01  3.13678115e-07  2.67895965e-01  2.82826866e-01 
 2.67894545e-01  1.00586970e-05  2.67894545e-01  3.81123378e-07  2.67894545e-01  2.82826775e-01 
 2.67892416e-01  1.00586971e-05  2.67892416e-01  4.82083092e-07  2.67892416e-01  2.82826004e-01 
 2.67891444e-01  1.00586971e-05  2.67891444e-01  5.28070426e-07  2.67891444e-01  2.82826413e-01 
 2.67889755e-01  1.00586971e-05  2.67889755e-01  6.07801567e-07  2.67889755e-01  2.82826280e-01 
 2.67888439e-01  1.00586971e-05  2.67888439e-01  6.69807175e-07  2.67888439e-01  2.82826507e-01 
 2.67886357e-01  1.00586970e-05  2.67886357e-01  7.67604650e-07  2.67886357e-01  2.82826190e-01 
 2.67885244e-01  1.00586970e-05  2.67885244e-01  8.19755570e-07  2.67885244e-01  2.82826688e-01 
 2.67883328e-01  1.00586971e-05  2.67883328e-01  9.09303619e-07  2.67883328e-01  2.82826638e-01 
 2.67881816e-01  1.00586971e-05  2.67881816e-01  9.79788709e-07  2.67881816e-01  2.82826948e-01 
 2.67879464e-01  1.00586971e-05  2.67879464e-01  1.08903225e-06  2.67879464e-01  2.82826339e-01 
 2.67878658e-01  1.00586970e-05  2.67878658e-01  1.12635695e-06  2.67878658e-01  2.82827263e-01 
 2.67876973e-01  1.00586970e-05  2.67876973e-01  1.20427842e-06  2.67876973e-01  2.82827634e-01 
 2.67875743e-01  1.00586970e-05  2.67875743e-01  1.26099757e-06  2.67875743e-01  2.82828359e-01 
 2.67873588e-01  1.00586970e-05  2.67873588e-01  1.36007128e-06  2.67873588e-01  2.82828545e-01 
 2.67872605e-01  1.00586969e-05  2.67872605e-01  1.40510862e-06  2.67872605e-01  2.82829530e-01 
 2.67870662e-01  1.00586968e-05  2.67870662e-01  1.49396676e-06  2.67870662e-01  2.82829980e-01 
 2.67869204e-01  1.00586969e-05  2.67869204e-01  1.56042666e-06  2.67869204e-01  2.82830779e-01 
 2.67866711e-01  1.00586968e-05  2.67866711e-01  1.67368257e-06  2.67866711e-01  2.82830912e-01 
 2.67865898e-01  1.00586968e-05  2.67865898e-01  1.71047524e-06  2.67865898e-01  2.82832188e-01 
 2.67864040e-01  1.00586968e-05  2.67864040e-01  1.79441155e-06  2.67864040e-01  2.82832941e-01 
 2.67862715e-01  1.00586967e-05  2.67862715e-01  1.85408828e-06  2.67862715e-01  2.82834028e-01 
 2.67860290e-01  1.00586967e-05  2.67860290e-01  1.96291248e-06  2.67860290e-01  2.82834614e-01 
 2.67859248e-01  1.00586967e-05  2.67859248e-01  2.00955200e-06  2.67859248e-01  2.82835951e-01 
 2.67857063e-01  1.00586966e-05  2.67857063e-01  2.10698412e-06  2.67857063e-01  2.82836794e-01 
 2.67855447e-01  1.00586965e-05  2.67855447e-01  2.17878792e-06  2.67855447e-01  2.82837964e-01 
 2.67852523e-01  1.00586965e-05  2.67852523e-01  2.30817105e-06  2.67852523e-01  2.82839473e-01 
 2.67852007e-01  1.00586964e-05  2.67852007e-01  2.33093688e-06  2.67852007e-01  2.82841240e-01 
 2.67850261e-01  1.00586964e-05  2.67850261e-01  2.40776430e-06  2.67850261e-01  2.82842533e-01 
 2.67849144e-01  1.00586962e-05  2.67849144e-01  2.45674688e-06  2.67849144e-01  2.82844124e-01 
 2.67846756e-01  1.00586963e-05  2.67846756e-01  2.56119350e-06  2.67846756e-01  2.82845278e-01 
 2.67845976e-01  1.00586962e-05  2.67845976e-01  2.59517117e-06  2.67845976e-01  2.82847087e-01 
 2.67843888e-01  1.00586961e-05  2.67843888e-01  2.68592453e-06  2.67843888e-01  2.82848479e-01 
 2.67842460e-01  1.00586960e-05  2.67842460e-01  2.74777402e-06  2.67842460e-01  2.82850150e-01 
 2.67839643e-01  1.00586959e-05  2.67839643e-01  2.86923514e-06  2.67839643e-01  2.82851304e-01 
 2.67839082e-01  1.00586958e-05  2.67839082e-01  2.89330623e-06  2.67839082e-01  2.82853350e-01 
 2.67837125e-01  1.00586958e-05  2.67837125e-01  2.97722336e-06  2.67837125e-01  2.82855023e-01 
 2.67835876e-01  1.00586957e-05  2.67835876e-01  3.03055827e-06  2.67835876e-01  2.82856945e-01 
 2.67833176e-01  1.00586957e-05  2.67833176e-01  3.14546966e-06  2.67833176e-01  2.82858536e-01 
 2.67832300e-01  1.00586955e-05  2.67832300e-01  3.18255194e-06  2.67832300e-01  2.82860650e-01 
 2.67829928e-01  1.00586954e-05  2.67829928e-01  3.28274205e-06  2.67829928e-01  2.82862461e-01 
 2.67828304e-01  1.00586954e-05  2.67828304e-01  3.35107915e-06  2.67828304e-01  2.82864497e-01 
 2.67825134e-01  1.00586954e-05  2.67825134e-01  3.48377718e-06  2.67825134e-01  2.82865864e-01 
