 net3            i(V_i_in)       net3            i(VI_out)       net3            v(Vin)         
 2.67185139e-01  1.05454294e-05  2.67185139e-01  5.29254862e-09  2.67185139e-01  2.82822086e-01 
 2.67182340e-01  1.05454296e-05  2.67182340e-01  1.40257693e-07  2.67182340e-01  2.82817216e-01 
 2.67180707e-01  1.05454297e-05  2.67180707e-01  2.20428227e-07  2.67180707e-01  2.82813600e-01 
 2.67178520e-01  1.05454299e-05  2.67178520e-01  3.27686276e-07  2.67178520e-01  2.82809522e-01 
 2.67177430e-01  1.05454301e-05  2.67177430e-01  3.81005286e-07  2.67177430e-01  2.82806562e-01 
 2.67174986e-01  1.05454303e-05  2.67174986e-01  5.00305259e-07  2.67174986e-01  2.82802404e-01 
 2.67173611e-01  1.05454304e-05  2.67173611e-01  5.67232043e-07  2.67173611e-01  2.82799302e-01 
 2.67171711e-01  1.05454306e-05  2.67171711e-01  6.59524215e-07  2.67171711e-01  2.82795794e-01 
 2.67170830e-01  1.05454307e-05  2.67170830e-01  7.02199884e-07  2.67170830e-01  2.82793237e-01 
 2.67168296e-01  1.05454309e-05  2.67168296e-01  8.24637297e-07  2.67168296e-01  2.82789328e-01 
 2.67166768e-01  1.05454311e-05  2.67166768e-01  8.98206810e-07  2.67166768e-01  2.82786342e-01 
 2.67164754e-01  1.05454312e-05  2.67164754e-01  9.94911520e-07  2.67164754e-01  2.82783026e-01 
 2.67163688e-01  1.05454313e-05  2.67163688e-01  1.04590734e-06  2.67163688e-01  2.82780529e-01 
 2.67161442e-01  1.05454315e-05  2.67161442e-01  1.15318878e-06  2.67161442e-01  2.82777171e-01 
 2.67160120e-01  1.05454317e-05  2.67160120e-01  1.21612270e-06  2.67160120e-01  2.82774587e-01 
 2.67158335e-01  1.05454317e-05  2.67158335e-01  1.30082246e-06  2.67158335e-01  2.82771716e-01 
 2.67157435e-01  1.05454318e-05  2.67157435e-01  1.34348583e-06  2.67157435e-01  2.82769542e-01 
 2.67154928e-01  1.05454319e-05  2.67154928e-01  1.46180099e-06  2.67154928e-01  2.82766289e-01 
 2.67153299e-01  1.05454320e-05  2.67153299e-01  1.53847891e-06  2.67153299e-01  2.82763719e-01 
 2.67151251e-01  1.05454323e-05  2.67151251e-01  1.63448344e-06  2.67151251e-01  2.82760934e-01 
 2.67150020e-01  1.05454323e-05  2.67150020e-01  1.69206217e-06  2.67150020e-01  2.82758744e-01 
 2.67147779e-01  1.05454325e-05  2.67147779e-01  1.79650649e-06  2.67147779e-01  2.82755972e-01 
 2.67146327e-01  1.05454326e-05  2.67146327e-01  1.86393705e-06  2.67146327e-01  2.82753757e-01 
 2.67144484e-01  1.05454327e-05  2.67144484e-01  1.94928019e-06  2.67144484e-01  2.82751364e-01 
 2.67143382e-01  1.05454327e-05  2.67143382e-01  2.00011313e-06  2.67143382e-01  2.82749461e-01 
 2.67141072e-01  1.05454329e-05  2.67141072e-01  2.10646020e-06  2.67141072e-01  2.82746926e-01 
 2.67139491e-01  1.05454330e-05  2.67139491e-01  2.17896583e-06  2.67139491e-01  2.82744864e-01 
 2.67137557e-01  1.05454331e-05  2.67137557e-01  2.26740228e-06  2.67137557e-01  2.82742672e-01 
 2.67136298e-01  1.05454332e-05  2.67136298e-01  2.32477531e-06  2.67136298e-01  2.82740889e-01 
 2.67134193e-01  1.05454333e-05  2.67134193e-01  2.42038867e-06  2.67134193e-01  2.82738736e-01 
 2.67132739e-01  1.05454333e-05  2.67132739e-01  2.48618679e-06  2.67132739e-01  2.82736962e-01 
 2.67130956e-01  1.05454334e-05  2.67130956e-01  2.56666141e-06  2.67130956e-01  2.82735088e-01 
 2.67129784e-01  1.05454335e-05  2.67129784e-01  2.61938664e-06  2.67129784e-01  2.82733549e-01 
 2.67127440e-01  1.05454336e-05  2.67127440e-01  2.72447982e-06  2.67127440e-01  2.82731546e-01 
 2.67125699e-01  1.05454337e-05  2.67125699e-01  2.80219858e-06  2.67125699e-01  2.82729867e-01 
 2.67123678e-01  1.05454338e-05  2.67123678e-01  2.89212100e-06  2.67123678e-01  2.82728135e-01 
 2.67122200e-01  1.05454339e-05  2.67122200e-01  2.95765850e-06  2.67122200e-01  2.82726677e-01 
 2.67120055e-01  1.05454339e-05  2.67120055e-01  3.05237578e-06  2.67120055e-01  2.82725023e-01 
 2.67118425e-01  1.05454340e-05  2.67118425e-01  3.12407034e-06  2.67118425e-01  2.82723619e-01 
 2.67116543e-01  1.05454341e-05  2.67116543e-01  3.20660557e-06  2.67116543e-01  2.82722183e-01 
 2.67115123e-01  1.05454342e-05  2.67115123e-01  3.26863691e-06  2.67115123e-01  2.82720958e-01 
 2.67112950e-01  1.05454342e-05  2.67112950e-01  3.36322292e-06  2.67112950e-01  2.82719546e-01 
 2.67111226e-01  1.05454343e-05  2.67111226e-01  3.43796120e-06  2.67111226e-01  2.82718334e-01 
 2.67109288e-01  1.05454342e-05  2.67109288e-01  3.52159525e-06  2.67109288e-01  2.82717118e-01 
 2.67107744e-01  1.05454343e-05  2.67107744e-01  3.58804251e-06  2.67107744e-01  2.82716067e-01 
 2.67105710e-01  1.05454344e-05  2.67105710e-01  3.67521032e-06  2.67105710e-01  2.82714942e-01 
 2.67104041e-01  1.05454344e-05  2.67104041e-01  3.74643642e-06  2.67104041e-01  2.82713966e-01 
 2.67102186e-01  1.05454345e-05  2.67102186e-01  3.82530507e-06  2.67102186e-01  2.82713001e-01 
 2.67100645e-01  1.05454345e-05  2.67100645e-01  3.89056938e-06  2.67100645e-01  2.82712159e-01 
 2.67098525e-01  1.05454345e-05  2.67098525e-01  3.98001984e-06  2.67098525e-01  2.82711252e-01 
 2.67096710e-01  1.05454346e-05  2.67096710e-01  4.05622660e-06  2.67096710e-01  2.82710465e-01 
 2.67094759e-01  1.05454347e-05  2.67094759e-01  4.13787272e-06  2.67094759e-01  2.82709710e-01 
 2.67093053e-01  1.05454347e-05  2.67093053e-01  4.20891350e-06  2.67093053e-01  2.82709050e-01 
 2.67091046e-01  1.05454347e-05  2.67091046e-01  4.29217508e-06  2.67091046e-01  2.82708401e-01 
 2.67089256e-01  1.05454348e-05  2.67089256e-01  4.36608552e-06  2.67089256e-01  2.82707838e-01 
 2.67087357e-01  1.05454347e-05  2.67087357e-01  4.44417369e-06  2.67087357e-01  2.82707316e-01 
 2.67085619e-01  1.05454347e-05  2.67085619e-01  4.51534330e-06  2.67085619e-01  2.82706867e-01 
 2.67083611e-01  1.05454348e-05  2.67083611e-01  4.59721434e-06  2.67083611e-01  2.82706446e-01 
 2.67081749e-01  1.05454348e-05  2.67081749e-01  4.67278915e-06  2.67081749e-01  2.82706094e-01 
 2.67079821e-01  1.05454349e-05  2.67079821e-01  4.75069010e-06  2.67079821e-01  2.82705792e-01 
 2.67077978e-01  1.05454348e-05  2.67077978e-01  4.82478291e-06  2.67077978e-01  2.82705549e-01 
 2.67076023e-01  1.05454348e-05  2.67076023e-01  4.90305001e-06  2.67076023e-01  2.82705356e-01 
 2.67074124e-01  1.05454348e-05  2.67074124e-01  4.97873006e-06  2.67074124e-01  2.82705221e-01 
 2.67072189e-01  1.05454349e-05  2.67072189e-01  5.05550529e-06  2.67072189e-01  2.82705139e-01 
 2.67070268e-01  1.05454348e-05  2.67070268e-01  5.13131016e-06  2.67070268e-01  2.82705112e-01 
 2.67068320e-01  1.05454349e-05  2.67068320e-01  5.20786021e-06  2.67068320e-01  2.82705139e-01 
 2.67066363e-01  1.05454348e-05  2.67066363e-01  5.28434569e-06  2.67066363e-01  2.82705221e-01 
 2.67064430e-01  1.05454348e-05  2.67064430e-01  5.35955013e-06  2.67064430e-01  2.82705357e-01 
 2.67062426e-01  1.05454349e-05  2.67062426e-01  5.43712752e-06  2.67062426e-01  2.82705550e-01 
 2.67060525e-01  1.05454349e-05  2.67060525e-01  5.51038502e-06  2.67060525e-01  2.82705792e-01 
 2.67058520e-01  1.05454349e-05  2.67058520e-01  5.58721404e-06  2.67058520e-01  2.82706094e-01 
 2.67056570e-01  1.05454349e-05  2.67056570e-01  5.66155977e-06  2.67056570e-01  2.82706446e-01 
 2.67054452e-01  1.05454347e-05  2.67054452e-01  5.74188117e-06  2.67054452e-01  2.82706867e-01 
 2.67052606e-01  1.05454348e-05  2.67052606e-01  5.81154433e-06  2.67052606e-01  2.82707316e-01 
 2.67050575e-01  1.05454348e-05  2.67050575e-01  5.88778109e-06  2.67050575e-01  2.82707838e-01 
 2.67048647e-01  1.05454347e-05  2.67048647e-01  5.95975646e-06  2.67048647e-01  2.82708401e-01 
 2.67046469e-01  1.05454347e-05  2.67046469e-01  6.04062590e-06  2.67046469e-01  2.82709050e-01 
 2.67044605e-01  1.05454346e-05  2.67044605e-01  6.10944959e-06  2.67044605e-01  2.82709709e-01 
 2.67042457e-01  1.05454346e-05  2.67042457e-01  6.18834538e-06  2.67042457e-01  2.82710465e-01 
 2.67040446e-01  1.05454345e-05  2.67040446e-01  6.26178913e-06  2.67040446e-01  2.82711252e-01 
 2.67038079e-01  1.05454345e-05  2.67038079e-01  6.34771028e-06  2.67038079e-01  2.82712158e-01 
 2.67036345e-01  1.05454345e-05  2.67036345e-01  6.41031544e-06  2.67036345e-01  2.82713001e-01 
 2.67034244e-01  1.05454344e-05  2.67034244e-01  6.48572991e-06  2.67034244e-01  2.82713966e-01 
